danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.749,0.839,6,-4.847,1,0.297,0.0867,0,0.204,0.804,172.068,audio_features,55mcupbf7cIsuCEVAuTJVk,spotify:track:55mcupbf7cIsuCEVAuTJVk,https://api.spotify.com/v1/tracks/55mcupbf7cIsuCEVAuTJVk,https://api.spotify.com/v1/audio-analysis/55mcupbf7cIsuCEVAuTJVk,111000,4
0.573,0.581,10,-9.026,0,0.339,0.753,0.00000139,0.13,0.351,76.506,audio_features,57RtLWT7IpugV0yi5bsxJk,spotify:track:57RtLWT7IpugV0yi5bsxJk,https://api.spotify.com/v1/tracks/57RtLWT7IpugV0yi5bsxJk,https://api.spotify.com/v1/audio-analysis/57RtLWT7IpugV0yi5bsxJk,169347,4
0.8,0.719,7,-6.262,1,0.234,0.109,0,0.058,0.815,143.975,audio_features,5VyfAfp2Yt3qaeuvq55ll3,spotify:track:5VyfAfp2Yt3qaeuvq55ll3,https://api.spotify.com/v1/tracks/5VyfAfp2Yt3qaeuvq55ll3,https://api.spotify.com/v1/audio-analysis/5VyfAfp2Yt3qaeuvq55ll3,230854,4
0.778,0.632,8,-6.415,1,0.125,0.0404,0,0.0912,0.827,140.951,audio_features,3eWHY75nDgte70hh5yf4UW,spotify:track:3eWHY75nDgte70hh5yf4UW,https://api.spotify.com/v1/tracks/3eWHY75nDgte70hh5yf4UW,https://api.spotify.com/v1/audio-analysis/3eWHY75nDgte70hh5yf4UW,224029,4
0.797,0.852,8,-5.202,1,0.241,0.0555,0.0000245,0.0536,0.48,136.035,audio_features,2UwrB6Ge6mPfUV8yGvAfX7,spotify:track:2UwrB6Ge6mPfUV8yGvAfX7,https://api.spotify.com/v1/tracks/2UwrB6Ge6mPfUV8yGvAfX7,https://api.spotify.com/v1/audio-analysis/2UwrB6Ge6mPfUV8yGvAfX7,102353,4
0.743,0.663,2,-8.47,1,0.0507,0.0148,0.000666,0.393,0.415,132.012,audio_features,4HolRqFuNvTvoLR2l1gexi,spotify:track:4HolRqFuNvTvoLR2l1gexi,https://api.spotify.com/v1/tracks/4HolRqFuNvTvoLR2l1gexi,https://api.spotify.com/v1/audio-analysis/4HolRqFuNvTvoLR2l1gexi,100000,4
0.915,0.551,8,-10.49,1,0.343,0.0342,0,0.102,0.753,124.906,audio_features,6dS1JCvtMJQ1O9bseVLyJz,spotify:track:6dS1JCvtMJQ1O9bseVLyJz,https://api.spotify.com/v1/tracks/6dS1JCvtMJQ1O9bseVLyJz,https://api.spotify.com/v1/audio-analysis/6dS1JCvtMJQ1O9bseVLyJz,88320,4
0.798,0.835,9,-3.832,1,0.202,0.165,0,0.112,0.609,150.04,audio_features,3zCWbPJVp1egCgyoMYAsDN,spotify:track:3zCWbPJVp1egCgyoMYAsDN,https://api.spotify.com/v1/tracks/3zCWbPJVp1egCgyoMYAsDN,https://api.spotify.com/v1/audio-analysis/3zCWbPJVp1egCgyoMYAsDN,139240,4
0.827,0.804,9,-5.846,1,0.128,0.455,0.00000141,0.272,0.566,146.079,audio_features,0O4U6fVE1TwWYhM4fKr1Fh,spotify:track:0O4U6fVE1TwWYhM4fKr1Fh,https://api.spotify.com/v1/tracks/0O4U6fVE1TwWYhM4fKr1Fh,https://api.spotify.com/v1/audio-analysis/0O4U6fVE1TwWYhM4fKr1Fh,178588,4
0.83,0.707,2,-5.777,1,0.277,0.167,0,0.0797,0.682,146.154,audio_features,3yFf0EtFwkiVSbf8CK4CB3,spotify:track:3yFf0EtFwkiVSbf8CK4CB3,https://api.spotify.com/v1/tracks/3yFf0EtFwkiVSbf8CK4CB3,https://api.spotify.com/v1/audio-analysis/3yFf0EtFwkiVSbf8CK4CB3,190685,4
0.792,0.536,9,-10.784,1,0.0793,0.000809,0.00245,0.0804,0.451,100.047,audio_features,4KMKVNmgBs8L2MMkJ3iDtG,spotify:track:4KMKVNmgBs8L2MMkJ3iDtG,https://api.spotify.com/v1/tracks/4KMKVNmgBs8L2MMkJ3iDtG,https://api.spotify.com/v1/audio-analysis/4KMKVNmgBs8L2MMkJ3iDtG,149000,4
0.64,0.852,5,-6.81,0,0.039,0.00418,0.00000108,0.146,0.861,145.009,audio_features,2ODYKhD4xlPViKP4LrNAwD,spotify:track:2ODYKhD4xlPViKP4LrNAwD,https://api.spotify.com/v1/tracks/2ODYKhD4xlPViKP4LrNAwD,https://api.spotify.com/v1/audio-analysis/2ODYKhD4xlPViKP4LrNAwD,190000,4
0.774,0.853,1,-6.933,1,0.246,0.0275,0,0.0876,0.619,123.041,audio_features,6tQB8rJfdvILrxIxuKIRMu,spotify:track:6tQB8rJfdvILrxIxuKIRMu,https://api.spotify.com/v1/tracks/6tQB8rJfdvILrxIxuKIRMu,https://api.spotify.com/v1/audio-analysis/6tQB8rJfdvILrxIxuKIRMu,106000,4
0.839,0.629,3,-5.663,0,0.147,0.241,0,0.108,0.724,94.008,audio_features,4sTDuXa8uGDHwJdsXUqIBo,spotify:track:4sTDuXa8uGDHwJdsXUqIBo,https://api.spotify.com/v1/tracks/4sTDuXa8uGDHwJdsXUqIBo,https://api.spotify.com/v1/audio-analysis/4sTDuXa8uGDHwJdsXUqIBo,207772,4
0.668,0.459,6,-12.072,0,0.118,0.0499,0.000001,0.408,0.525,159.021,audio_features,4zHabeonyLGTgnR9R5RY3X,spotify:track:4zHabeonyLGTgnR9R5RY3X,https://api.spotify.com/v1/tracks/4zHabeonyLGTgnR9R5RY3X,https://api.spotify.com/v1/audio-analysis/4zHabeonyLGTgnR9R5RY3X,186415,4
0.816,0.433,1,-9.19,1,0.241,0.00471,0,0.132,0.676,147.942,audio_features,2lTWOBGyQkBRIgzCtomXSL,spotify:track:2lTWOBGyQkBRIgzCtomXSL,https://api.spotify.com/v1/tracks/2lTWOBGyQkBRIgzCtomXSL,https://api.spotify.com/v1/audio-analysis/2lTWOBGyQkBRIgzCtomXSL,225000,4
